Topic,Subtopic,Keyword,Traffic,Volume,KD,Keyword Intents,Position,Position Type,URL
Legality of Cannabis,can you smoke medical marijuanas in australia in public,can you smoke medical marijuanas in australia in public vic,0,50,43,informational,50,Organic,https://www.polln.com/library/travelling-as-a-medicinal-cannabis-patient-in-australia-what-you-need-to-know
Legality of Cannabis,can you smoke medical marijuanas in australia in public,can you travel with medical marijuanas internationally,0,90,15,informational,9,Organic,https://www.polln.com/library/travelling-as-a-medicinal-cannabis-patient-in-australia-what-you-need-to-know
Legality of Cannabis,can you smoke medical marijuanas in australia in public,medical marijuanas qld laws,0,260,32,informational,72,Organic,https://www.polln.com/library/travelling-as-a-medicinal-cannabis-patient-in-australia-what-you-need-to-know
Legality of Cannabis,can you smoke medical marijuanas in australia in public,is medical marijuanas covered by medicare,0,70,20,informational,48,Organic,https://www.polln.com/library/travelling-as-a-medicinal-cannabis-patient-in-australia-what-you-need-to-know
Legality of Cannabis,can you smoke medical marijuanas in australia in public,can you smoke medical marijuanas in australia in public nsw,0,110,39,informational,24,Organic,https://www.polln.com/library/travelling-as-a-medicinal-cannabis-patient-in-australia-what-you-need-to-know
Legality of Cannabis,can you drive with medical marijuanas qld,can you drive with medical marijuanas qld,0,110,18,informational,85,Organic,https://www.polln.com/location-faqs/can-i-drive-after-taking-medicinal-cannabis-treatments-in-brisbane
Legality of Cannabis,can you drive with medical marijuanas qld,medicinal marijuanas qld driving,0,110,28,informational,87,Organic,https://www.polln.com/location-faqs/can-i-drive-after-taking-medicinal-cannabis-treatments-in-brisbane
Legality of Cannabis,can you drive with medical marijuanas qld,can you drive on medical weed qld,0,50,10,informational,64,Organic,https://www.polln.com/location-faqs/can-i-drive-after-taking-medicinal-cannabis-treatments-in-brisbane
Legality of Cannabis,can you drive with medical marijuanas qld,how long can you drive with medical marijuanas qld,0,320,26,informational,59,Organic,https://www.polln.com/location-faqs/can-i-drive-after-taking-medicinal-cannabis-treatments-in-brisbane
Legality of Cannabis,is weed legal in tasmania,is weed legal in tasmania,0,90,27,informational,24,Organic,https://www.polln.com/location-faqs/can-i-drive-while-taking-medicinal-cannabis-in-tasmania
Cannabis Doctors and Clinics,dr joel wren,dr joel wren,9,70,9,informational,2,Organic,https://www.polln.com/practitioners/dr-joel-wren
Cannabis Doctors and Clinics,dr joel wren,medical marijuanas adelaide,7,260,47,commercial,6,Organic,https://www.polln.com/practitioners/dr-joel-wren
Cannabis Doctors and Clinics,dr joel wren,doctors who can prescribe cbd oil in adelaide,6,110,3,informational,1,AI overview,https://www.polln.com/practitioners/dr-joel-wren
Cannabis Doctors and Clinics,dr joel wren,pot doctor near me,1,50,50,"informational, transactional",6,Organic,https://www.polln.com/practitioners/dr-joel-wren
Cannabis Doctors and Clinics,dr joel wren,mmj doctor near me,1,90,55,transactional,10,Organic,https://www.polln.com/practitioners/dr-joel-wren
Cannabis Doctors and Clinics,dr joel wren,authorised prescriber adelaide,1,50,25,informational,7,Organic,https://www.polln.com/practitioners/dr-joel-wren
Cannabis Doctors and Clinics,dr joel wren,medical cannabinoids doctor,0,40,15,commercial,47,Organic,https://www.polln.com/practitioners/dr-joel-wren
Cannabis Doctors and Clinics,dr joel wren,cannabis dispensary adelaide,0,50,35,informational,67,Organic,https://www.polln.com/practitioners/dr-joel-wren
Cannabis Doctors and Clinics,dr joel wren,medical marijuanas south australia,0,260,40,informational,13,Organic,https://www.polln.com/practitioners/dr-joel-wren
Cannabis Doctors and Clinics,dr joel wren,cbd oil adelaide,0,90,15,informational,8,Organic,https://www.polln.com/practitioners/dr-joel-wren
Cannabis Doctors and Clinics,cannabis doctors tasmania,cannabis doctors tasmania,8,590,33,navigational,4,Organic,https://www.polln.com/locations/hobart
Cannabis Doctors and Clinics,cannabis doctors tasmania,cannabis doctor tasmania,1,70,34,navigational,3,Organic,https://www.polln.com/locations/hobart
Cannabis Doctors and Clinics,cannabis doctors tasmania,is weed legal in tasmania,0,90,27,informational,95,Organic,https://www.polln.com/locations/hobart
Cannabis Doctors and Clinics,cannabis doctors tasmania,medicinal cannabinoids tasmania,0,90,28,informational,31,Organic,https://www.polln.com/locations/hobart
Cannabis Doctors and Clinics,cannabis doctors tasmania,doctor canna,0,480,30,navigational,72,Organic,https://www.polln.com/locations/hobart
Cannabis Doctors and Clinics,cannabis doctors tasmania,cbd oil tasmania,0,50,27,informational,21,Organic,https://www.polln.com/locations/hobart
Cannabis Doctors and Clinics,cannabis doctors tasmania,medicinal marijuanas tasmania,0,70,24,informational,24,Organic,https://www.polln.com/locations/hobart
Cannabis Doctors and Clinics,cannabis doctors tasmania,leaf doctors,0,2900,34,navigational,59,Organic,https://www.polln.com/locations/hobart
Cannabis Doctors and Clinics,cannabis doctors tasmania,medical marijuana tasmania,0,70,28,informational,29,Organic,https://www.polln.com/locations/hobart
Cannabis Doctors and Clinics,cannabis doctors tasmania,medical cannabis clinic,0,170,37,commercial,50,Organic,https://www.polln.com/locations/hobart
Cannabis Doctors and Clinics,doctors in alice springs,doctors in alice springs,0,40,17,commercial,29,Organic,https://www.polln.com/locations/alice-springs
Cannabis Doctors and Clinics,doctors in alice springs,alice springs doctors,0,90,18,commercial,28,Organic,https://www.polln.com/locations/alice-springs
Cannabis Doctors and Clinics,doctors in alice springs,alice springs doctor,0,110,18,commercial,96,Organic,https://www.polln.com/locations/alice-springs
Cannabis Doctors and Clinics,doctor canna,doctor canna,0,480,30,navigational,77,Organic,https://www.polln.com/locations/darwin
Cannabis Doctors and Clinics,doctor canna,medical cannabis nt,0,50,21,"informational, transactional",11,Organic,https://www.polln.com/locations/darwin
Cannabis Doctors and Clinics,doctor canna,greenhaven doctors,0,70,16,informational,79,Organic,https://www.polln.com/locations/darwin
Cannabis Doctors and Clinics,doctor canna,greenhouse medical darwin,0,40,9,informational,48,Organic,https://www.polln.com/locations/darwin
Cannabis Doctors and Clinics,doctor canna,free consultation medical weed,0,70,50,informational,98,Organic,https://www.polln.com/locations/darwin
Cannabis Travel and Regulations,drug schedules australia,drug schedules australia,3,260,35,informational,4,Image pack,https://www.polln.com/library/pharmacy-dispensing-limits-and-intervals
Cannabis Travel and Regulations,drug schedules australia,schedule 9 drugs,3,110,25,informational,1,Image pack,https://www.polln.com/library/pharmacy-dispensing-limits-and-intervals
Cannabis Travel and Regulations,drug schedules australia,drug schedule australia,1,210,34,informational,3,Image pack,https://www.polln.com/library/pharmacy-dispensing-limits-and-intervals
Cannabis Travel and Regulations,drug schedules australia,schedule drugs australia,0,90,37,informational,9,Image pack,https://www.polln.com/library/pharmacy-dispensing-limits-and-intervals
Cannabis Travel and Regulations,drug schedules australia,schedule 4 medicine,0,90,31,informational,4,Image pack,https://www.polln.com/library/pharmacy-dispensing-limits-and-intervals
Cannabis Travel and Regulations,drug schedules australia,medication schedules australia,0,50,34,informational,9,Image pack,https://www.polln.com/library/pharmacy-dispensing-limits-and-intervals
Cannabis Travel and Regulations,travelling with medicines international travel,travelling with medicines international travel,0,110,31,informational,66,Organic,https://www.polln.com/faqs/can-i-travel-with-my-prescription-medications
Cannabis Travel and Regulations,travelling with medicines international travel,can you take prescription medication on a plane,0,70,35,informational,50,Organic,https://www.polln.com/faqs/can-i-travel-with-my-prescription-medications
Cannabis Travel and Regulations,travelling with medicines international travel,travel with prescription meds,0,70,43,informational,35,Organic,https://www.polln.com/faqs/can-i-travel-with-my-prescription-medications
Cannabis Travel and Regulations,travelling with medicines international travel,medicine on plane,0,50,25,informational,67,Organic,https://www.polln.com/faqs/can-i-travel-with-my-prescription-medications
Cannabis Travel and Regulations,travelling with medicines international travel,can i take meds on a plane,0,70,30,informational,94,Organic,https://www.polln.com/faqs/can-i-travel-with-my-prescription-medications
Cannabis Travel and Regulations,travelling with medicines international travel,medication on a plane,0,50,39,informational,62,Organic,https://www.polln.com/faqs/can-i-travel-with-my-prescription-medications
Cannabis Travel and Regulations,travelling with medicines international travel,can i take medicine on a plane,0,70,25,informational,62,Organic,https://www.polln.com/faqs/can-i-travel-with-my-prescription-medications
Cannabis Travel and Regulations,travelling with medicines international travel,travelling with prescription medicines,0,70,17,informational,44,Organic,https://www.polln.com/faqs/can-i-travel-with-my-prescription-medications
Cannabis Travel and Regulations,travelling with medicines international travel,traveling with prescription medicine,0,70,39,informational,50,Organic,https://www.polln.com/faqs/can-i-travel-with-my-prescription-medications
Cannabis Travel and Regulations,travelling with medicines international travel,travelling with prescription medication,0,70,26,informational,51,Organic,https://www.polln.com/faqs/can-i-travel-with-my-prescription-medications
Cannabis Devices and Accessories,volcano medic 2 australia,volcano medic 2 australia,3,90,9,"commercial, informational",5,Organic,https://shop.polln.com/products/volcano-medic-2
Cannabis Devices and Accessories,volcano medic 2 australia,volcano medic,0,70,10,informational,8,Organic,https://shop.polln.com/products/volcano-medic-2
Cannabis Devices and Accessories,volcano medic 2 australia,volcano medic 2,0,210,11,"informational, transactional",13,Organic,https://shop.polln.com/products/volcano-medic-2
Cannabis Devices and Accessories,volcano medic 2 australia,volcano medic 2 vaporizer,0,70,11,informational,11,Organic,https://shop.polln.com/products/volcano-medic-2
Cannabis Devices and Accessories,where to buy storz and bickel australia online,where to buy storz and bickel australia online,0,50,14,informational,27,Organic,https://shop.polln.com/collections/storz-and-bickel
Cannabis Devices and Accessories,where to buy storz and bickel australia online,tga approved vaporisers,0,70,8,"informational, transactional",10,Organic,https://shop.polln.com/collections/storz-and-bickel
Cannabis Devices and Accessories,where to buy storz and bickel australia online,storz and bickel,0,1000,17,navigational,12,Organic,https://shop.polln.com/collections/storz-and-bickel
Cannabis Devices and Accessories,where to buy storz and bickel australia online,stores and bickel,0,480,36,navigational,31,Organic,https://shop.polln.com/collections/storz-and-bickel
Cannabis Devices and Accessories,where to buy storz and bickel australia online,storz & bickel,0,110,24,navigational,7,Organic,https://shop.polln.com/collections/storz-and-bickel
Cannabis Devices and Accessories,where to buy storz and bickel australia online,storz a n d bickel,0,590,21,navigational,19,Organic,https://shop.polln.com/collections/storz-and-bickel
Cannabis Devices and Accessories,tga approved vaporiser,tga approved vaporiser,0,140,19,informational,37,Organic,https://www.polln.com/faqs/do-i-need-to-use-a-vaporiser-and-can-i-buy-a-vaporiser-through-polln
Cannabis Devices and Accessories,mighty+,mighty+,0,260,27,informational,60,Organic,https://shop.polln.com/products/mighty-medic-1
Cannabis Devices and Accessories,mighty+,might medic,0,50,6,informational,9,Organic,https://shop.polln.com/products/mighty-medic-1
Cannabis Devices and Accessories,mighty+,mighty+ medic,0,110,9,informational,30,Organic,https://shop.polln.com/products/mighty-medic-1
Cannabis Devices and Accessories,mighty+,mighty medic,0,1000,23,informational,41,Organic,https://shop.polln.com/products/mighty-medic-1
Cannabis Devices and Accessories,mighty+,mighty medic vaporiser,0,590,11,informational,32,Organic,https://shop.polln.com/products/mighty-medic-1
